Agreement #,IssuerID,Issuer Name,Issuer City,Issuer State,FFIEC Regulator,Agreement File Name,PDF Size,TXT Size,Effective Date,Agreement Description,CFPB Filename,ID,Status
2947,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_13,,,2010-09-30,13,creditcardagreement_2947,FR801814047,Maintain
2948,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_14,,,2010-09-30,14,creditcardagreement_2948,FR801814047,Maintain
2949,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_15,,,2010-09-30,15,creditcardagreement_2949,FR801814047,Maintain
2950,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_16,,,2010-09-30,16,creditcardagreement_2950,FR801814047,Maintain
2951,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_17,,,2010-09-30,17,creditcardagreement_2951,FR801814047,Maintain
2952,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_18,,,2010-09-30,18,creditcardagreement_2952,FR801814047,Maintain
2953,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_19,,,2010-09-30,19,creditcardagreement_2953,FR801814047,Maintain
2954,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_20,,,2010-09-30,20,creditcardagreement_2954,FR801814047,Maintain
2955,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_21,,,2010-09-30,21,creditcardagreement_2955,FR801814047,Maintain
2956,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_22,,,2010-09-30,22,creditcardagreement_2956,FR801814047,Maintain
2957,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_23,,,2010-09-30,23,creditcardagreement_2957,FR801814047,Maintain
2958,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_24,,,2010-09-30,24,creditcardagreement_2958,FR801814047,Maintain
2959,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_25,,,2010-09-30,25,creditcardagreement_2959,FR801814047,Maintain
2960,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_26,,,2010-09-30,26,creditcardagreement_2960,FR801814047,Maintain
2961,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_27,,,2010-09-30,27,creditcardagreement_2961,FR801814047,Maintain
2962,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_28,,,2010-09-30,28,creditcardagreement_2962,FR801814047,Maintain
2963,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_29,,,2010-09-30,29,creditcardagreement_2963,FR801814047,Maintain
2964,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_30,,,2010-09-30,30,creditcardagreement_2964,FR801814047,Maintain
2965,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_31,,,2010-09-30,31,creditcardagreement_2965,FR801814047,Maintain
2966,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_32,,,2010-09-30,32,creditcardagreement_2966,FR801814047,Maintain
2967,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_33,,,2010-09-30,33,creditcardagreement_2967,FR801814047,Maintain
2968,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_34,,,2010-09-30,34,creditcardagreement_2968,FR801814047,Maintain
2969,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_35,,,2010-09-30,35,creditcardagreement_2969,FR801814047,Maintain
2970,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_36,,,2010-09-30,36,creditcardagreement_2970,FR801814047,Maintain
2971,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_2,,,2010-09-30,2,creditcardagreement_2971,FR801814047,Maintain
2972,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_3,,,2010-09-30,3,creditcardagreement_2972,FR801814047,Maintain
2973,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_4,,,2010-09-30,4,creditcardagreement_2973,FR801814047,Maintain
2974,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_5,,,2010-09-30,5,creditcardagreement_2974,FR801814047,Maintain
2975,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_6,,,2010-09-30,6,creditcardagreement_2975,FR801814047,Maintain
2976,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_7,,,2010-09-30,7,creditcardagreement_2976,FR801814047,Maintain
2977,398,Baxter Credit Union,Vernon Hills,IL,NCUA,801814047_1,,,2010-09-30,1,creditcardagreement_2977,FR801814047,Maintain
3024,309,Community Credit Union of Florida,Rockledge,FL,NCUA,FR107552747_9-10 VISA Agreement,,,2010-09-30,9-10 VISA Agreement,creditcardagreement_3024,FR107552747,Maintain
3110,156,University of Kentucky Federal Credit Union,Lexington,KY,NCUA,623542990_Jan-2011 Agreement,,,2010-12-31,Jan 2011 Agreement,creditcardagreement_3110,FR623542990,Maintain
3233,289,University of Illinois Employees Credit Union,Champaign,IL,NCUA,FR106345606_UIAA VISA REWARDS,,,2010-12-31,UIAA VISA REWARDS,creditcardagreement_3233,FR106345606,Maintain
3234,289,University of Illinois Employees Credit Union,Champaign,IL,NCUA,FR106345606_UIAA VISA,,,2010-12-31,UIAA VISA,creditcardagreement_3234,FR106345606,Maintain
3235,289,University of Illinois Employees Credit Union,Champaign,IL,NCUA,FR106345606_VISA Classic,,,2010-12-31,VISA Classic,creditcardagreement_3235,FR106345606,Maintain
3236,289,University of Illinois Employees Credit Union,Champaign,IL,NCUA,FR106345606_VISA PLATINUM,,,2010-12-31,VISA PLATINUM,creditcardagreement_3236,FR106345606,Maintain
3290,219,Landmark Credit Union,New Berlin,WI,NCUA,FR040789380_Student,,,2010-12-31,Student,creditcardagreement_3290,FR040789380,Maintain
3296,300,US New Mexico Federal Credit Union,Albuquerque,NM,NCUA,FR010618510_Credit Builder,,,2010-12-31,Credit Builder,creditcardagreement_3296,FR010618510,Maintain
3297,300,US New Mexico Federal Credit Union,Albuquerque,NM,NCUA,FR010618510_CU Succeed,,,2010-12-31,CU Succeed,creditcardagreement_3297,FR010618510,Maintain
3298,300,US New Mexico Federal Credit Union,Albuquerque,NM,NCUA,FR010618510_Platinum Choice #1,,,2010-12-31,Platinum Choice 1,creditcardagreement_3298,FR010618510,Maintain
3299,300,US New Mexico Federal Credit Union,Albuquerque,NM,NCUA,FR010618510_Platinum Choice #2,,,2010-12-31,Platinum Choice 2,creditcardagreement_3299,FR010618510,Maintain
3300,300,US New Mexico Federal Credit Union,Albuquerque,NM,NCUA,FR010618510_Platinum Preferred,,,2010-12-31,Platinum Preferred,creditcardagreement_3300,FR010618510,Maintain
3301,300,US New Mexico Federal Credit Union,Albuquerque,NM,NCUA,FR010618510_Platinum Select,,,2010-12-31,Platinum Select,creditcardagreement_3301,FR010618510,Maintain
3302,300,US New Mexico Federal Credit Union,Albuquerque,NM,NCUA,FR010618510_Platinum Standard,,,2010-12-31,Platinum Standard,creditcardagreement_3302,FR010618510,Maintain
3303,300,US New Mexico Federal Credit Union,Albuquerque,NM,NCUA,FR010618510_Student,,,2010-12-31,Student,creditcardagreement_3303,FR010618510,Maintain
3440,118,Atlanta Postal Credit Union,Atlanta,GA,NCUA,FR082175605_Platinum Rewards 9 9,,,2010-12-31,Platinum Rewards 9.9,creditcardagreement_3440,FR082175605,Maintain
3441,118,Atlanta Postal Credit Union,Atlanta,GA,NCUA,FR082175605_Platinum Rewards 12 9,,,2010-12-31,Platinum Rewards 12.9,creditcardagreement_3441,FR082175605,Maintain
3442,118,Atlanta Postal Credit Union,Atlanta,GA,NCUA,FR082175605_Platinum Rewards 14 9,,,2010-12-31,Platinum Rewards 14.9,creditcardagreement_3442,FR082175605,Maintain
3443,118,Atlanta Postal Credit Union,Atlanta,GA,NCUA,FR082175605_Platinum Rewards 16 9,,,2010-12-31,Platinum Rewards 16.9,creditcardagreement_3443,FR082175605,Maintain
3566,14,BancorpSouth Bank,Tupelo,MS,FDIC,FR006964878_Agreement,,,2010-12-31,Agreement 1,creditcardagreement_3566,FR006964878,Maintain
3579,224,Greylock Federal Credit Union,Pittsfield,MA,NCUA,FR119235364_Visa,,,2010-12-31,Visa,creditcardagreement_3579,FR119235364,Maintain
3665,82,Savannah River Plant Federal Credit Union,North Augusta,SC,NCUA,FR082234808_1,,,2010-12-31,Agreement 1,creditcardagreement_3665,FR082234808,Maintain
3713,354,Marathon Petroleum Company LP,Findlay,OH,NA,FR962993101_1,,,2010-12-31,Agreement 1,creditcardagreement_3713,FR962993101,Maintain
3853,156,University of Kentucky Federal Credit Union,Lexington,KY,NCUA,623542990_Mar-2011 Agreement,,,2011-03-31,Mar 2011 Agreement,creditcardagreement_3853,FR623542990,Maintain
4487,208,Honda Federal Credit Union,Torrance,CA,NCUA,VISA Credit Card Disclosure & Agreement,,,2011-03-31,Visa Credit Card Agreement,creditcardagreement_4487,FR196998322,Maintain
4551,411,RBC BANK (USA),Raleigh,NC,FRS,FR620491795_PlatinumCard,,,2011-06-30,PlatinumCard,creditcardagreement_4551,FR620491795,Maintain
4559,338,Simmons First National Bank,Pine  Bluff,AR,OCC,FR006903678_COMMERCIAL,,,2011-07-31,COMMERCIAL,creditcardagreement_4559,FR006903678,Maintain
4570,353,State Employees Credit Union (Maryland),Linthicum,MD,NCUA,sharesecuredagreement6,,,1900-01-00,Agreement 6,creditcardagreement_4570,FR097587190,Maintain
4571,353,State Employees Credit Union (Maryland),Linthicum,MD,NCUA,creditcardagreement5,,,1900-01-00,Agreement 5,creditcardagreement_4571,FR097587190,Maintain
4573,19,State Farm Bank FSB,Bloomington,IL,OCC,F03-L608-4 Final Signature Rewards AGT 4-14-2011,,,2011-06-30, Final Signature Rewards AGT 4-14-2011,creditcardagreement_4573,FR137925421,Maintain
4574,19,State Farm Bank FSB,Bloomington,IL,OCC,F03-L609-5 Crystal signature Rewards AGT Final,,,2011-06-30, Crystal signature Rewards AGT Final,creditcardagreement_4574,FR137925421,Maintain
4612,156,University of Kentucky Federal Credit Union,Lexington,KY,NCUA,623542990_June-2011 Agreement,,,2011-06-30,June-2011 Agreement,creditcardagreement_4612,FR623542990,Maintain
5064,424,Jefferson Capital,Birmingham,AL,NA,MABT_Renkim_NewB T and C 072011,,,2011-09-30,MABT_Renkim_NewB T and C 072011,creditcardagreement_5064,FR786405977,Maintain
5087,50,Michigan State University Federal Credit Union,East Lansing,MI,NCUA,FR07839921_MSUFCU_Business_VISA_Disclosure,,,2011-09-30,MSUFCU_Business_VISA_Disclosure,creditcardagreement_5087,FR078399219,Maintain
5090,50,Michigan State University Federal Credit Union,East Lansing,MI,NCUA,MSU License Agreement,,,2011-09-30,MSU License Agreement,creditcardagreement_5090,FR078399219,Maintain
5097,305,Numerica Credit Union,Spokane Valley,WA,NCUA,FR084413293_Consumer_Visa_Disclosure,,,2011-09-30,Consumer_Visa_Disclosure,creditcardagreement_5097,FR084413293,Maintain
5154,263,TruStone Financial Federal Credit Union,Plymouth,MN,NCUA,FR077632115_PlatinumRewards,,,2011-09-30,PlatinumRewards,creditcardagreement_5154,FR077632115,Maintain
5156,263,TruStone Financial Federal Credit Union,Plymouth,MN,NCUA,FR077632115_Platinum visa no rewards,,,2011-09-30,Platinum visa no rewards,creditcardagreement_5156,FR077632115,Maintain
5159,156,University of Kentucky Federal Credit Union,Lexington,KY,NCUA,623542990_Sept-2011 Agreement,,,2011-09-30,Sept-2011 Agreement,creditcardagreement_5159,FR623542990,Maintain
5418,196,Citibank NA,Las Vegas,NV,OCC,FR006983704_ExxonMobil Personal Card,,,2011-12-31,ExxonMobil Personal Card,creditcardagreement_5418,FR006983704,Maintain
5420,196,Citibank NA,Las Vegas,NV,OCC,FR006983704_Goodyear-Just Tires-Dunlop-Kelly Tires Credit Card,,,2011-12-31,Goodyear-Just Tires-Credit Card,creditcardagreement_5420,FR006983704,Maintain
5421,196,Citibank NA,Las Vegas,NV,OCC,FR006983704_NTB-Merchant Tire-Tire Kingdom Credit Card,,,2011-12-31,NTB-Merchant Tire-Tire Kingdom Credit Card,creditcardagreement_5421,FR006983704,Maintain
5422,196,Citibank NA,Las Vegas,NV,OCC,FR006983704_Office Depot Personal Credit Card Account,,,2011-12-31,Office Depot Personal Credit Account,creditcardagreement_5422,FR006983704,Maintain
5429,196,Citibank NA,Las Vegas,NV,OCC,FR006983704_Sears Charge PLUS Account,,,2011-12-31,SearsCharge PLUS Account,creditcardagreement_5429,FR006983704,Maintain
